Symbol,Company,Value_Score,PE_Ratio,PEG_Ratio,FCF_Yield,ROE,Debt_Equity,EPS_Growth,EPS_Growth_Raw,Sector,Market_Cap,Price,PE_Score,PEG_Score,FCF_Score,ROE_Score,Debt_Score,EPS_Score
DIS,The Walt Disney Company,74.0,17.67228205350186,0.5862898978560416,4.1953506626425945,11.103714615981715,0.38721883732649226,110.9,110.8527131782946,Communication Services,204011552031.0,113.47,100.0,100.0,36.6,11.0,100.0,100.0
UNH,UnitedHealth Group Incorporated,67.1,14.70289256198347,-4.206077479338843,6.644221234971699,22.597922828984892,0.8360394409019889,-35.2,-35.1575456053068,Healthcare,311624180890.0,344.08,100.0,20.0,77.4,100.0,86.6,0.0
META,"Meta Platforms, Inc.",67.1,26.18991846952047,3.4990794625267982,2.8939571766962335,39.32926787347116,0.25406264417901264,62.0,62.014483212639895,Communication Services,1868445063231.0,743.75,84.5,20.0,14.9,100.0,100.0,100.0
PG,The Procter & Gamble Company,64.4,23.4315763115062,7.580114936772248,3.9319230582123508,30.82415143855045,0.663462277935861,7.9,7.928802588996768,Consumer Defensive,357178912000.0,152.5,91.4,0.0,32.2,100.0,93.5,71.7
GOOGL,Alphabet Inc.,62.8,25.858616458861498,5.5780729789829815,2.440274396652976,34.31028673297778,0.1148144474203397,37.7,37.67123287671232,Communication Services,2981795821806.0,246.54,85.4,0.0,7.3,100.0,100.0,100.0
KO,The Coca-Cola Company,62.3,23.19445210539276,1.757155462529754,1.677506661883082,45.90386300053692,1.7297883505334966,-0.4,-0.40322580645160433,Consumer Defensive,282621828439.0,65.67,92.0,89.7,0.0,100.0,50.8,38.4
JPM,JPMorgan Chase & Co.,60.8,15.590832292643237,-3.616010080600555,-4.834037349806388,16.164547678310264,1.3590988557788213,21.8,21.78461538461538,Financial Services,869087203095.0,316.06,100.0,20.0,10.0,61.6,65.6,100.0
V,Visa Inc.,59.6,32.2964869591756,11.09217276253069,2.875554451816061,52.509943098873,0.6501655286571487,17.5,17.490952955367927,Financial Services,650065937308.0,337.37,69.3,0.0,14.6,100.0,94.0,100.0
WMT,Walmart Inc.,59.6,38.55933658170915,2.8196514875374787,1.539248424279497,24.184191443074692,0.7214959493951837,26.0,26.041666666666668,Consumer Defensive,822479321746.0,103.16,53.6,47.2,0.0,100.0,91.1,100.0
JNJ,Johnson & Johnson,58.0,19.184345836459116,5.11770637460836,4.584538303860154,30.393991214834188,0.6468594293578683,-57.9,-57.92507204610951,Healthcare,432802578687.0,179.71,100.0,0.0,43.1,100.0,94.1,0.0
AMZN,"Amazon.com, Inc.",56.8,33.10252835478527,4.941734590107219,1.4026843187681632,23.843756092990752,0.4012852969814995,91.9,91.86440677966101,Consumer Cyclical,2343934380679.0,219.78,67.2,0.0,0.0,100.0,100.0,100.0
GME,GameStop Corp.,55.6,32.83418888888889,0.4538843758169934,1.09578795450718,7.2368718621375905,0.853469592767174,1400.0,1400.0,Consumer Cyclical,11827105734.0,26.42,67.9,100.0,0.0,0.0,85.9,100.0
MSFT,Microsoft Corporation,54.2,37.33288337654175,6.830340212130676,1.8836239779390493,32.43604812277231,0.17639506345366093,15.5,15.51433389544688,Technology,3801767276203.0005,511.46,56.7,0.0,0.0,100.0,100.0,100.0
WFC,Wells Fargo & Company,50.4,13.352695544434187,2.896507802715716,1.1144790812688952,11.361522303770705,2.0110981663178933,11.3,11.270491803278686,Financial Services,272324537177.0,85.01,100.0,44.1,0.0,13.6,39.6,85.1
HD,"The Home Depot, Inc.",50.0,27.80841342538793,-205.36513314649426,3.999283582493924,188.4816079366102,5.749742147210502,-1.3,-1.319261213720312,Consumer Cyclical,408198110068.0,410.09,80.5,20.0,33.3,100.0,0.0,34.7
MA,Mastercard Incorporated,49.0,37.76961872515825,9.637997349687694,2.821270263904681,190.88162978573936,2.409194818389637,17.4,17.369308600337273,Financial Services,507076552822.0,565.13,55.6,0.0,13.7,100.0,23.6,100.0
NVDA,NVIDIA Corporation,46.5,50.13773618023719,3.9358122901486206,1.4026625759466596,105.22114216281895,0.10584134783433702,145.5,145.45454545454547,Technology,4338391930000.0,178.19,24.7,2.6,0.0,100.0,100.0,100.0
AMC,"AMC Entertainment Holdings, Inc.",45.0,-3.447496998072157,-0.3677330131276969,-19.987764614351082,21.02185555073093,-4.79552567520575,49.3,49.2822966507177,Communication Services,1482406891.0,2.89,0.0,20.0,10.0,100.0,100.0,100.0
AAPL,Apple Inc.,42.8,38.34701105519742,14.504193004995265,2.87004439198821,154.92287406274625,1.5448579674920249,-0.8,-0.8116883116883088,Technology,3791126029400.0,255.46,54.1,0.0,14.5,100.0,58.2,36.8
BRK-B,Berkshire Hathaway Inc.,39.9,17.156480565193743,-0.7709115578515798,1.0769983850563478,9.676353965574185,0.19015283185800963,-6.8,-6.77659814772984,Financial Services,1078553149306.0,500.03,100.0,20.0,0.0,0.0,100.0,12.9
BAC,Bank of America Corporation,37.7,14.099471093221247,6.828172429431449,-2.2768604417015195,9.458151646113585,2.539290852105648,4.8,4.838709677419352,Financial Services,386716719160.0,52.21,100.0,0.0,10.0,0.0,18.4,59.4
PLTR,Palantir Technologies Inc.,32.0,550.2322226880408,17.19475695900127,0.28259439942958503,14.640350075480207,0.040110637705031676,114.9,114.9437052200614,Technology,403840628938.0,177.57,0.0,0.0,0.0,46.4,100.0,100.0
ROKU,"Roku, Inc.",28.8,-237.86370110233148,-5.6013065098290955,1.451424186936082,-2.4432574064194594,0.21893326210012384,82.2,82.23552894211578,Communication Services,14674138816.0,99.6,0.0,20.0,0.0,5.0,100.0,100.0
INTC,Intel Corporation,27.7,-7.564353296917674,1.1685621644893547,-10.075984525377313,-20.688072121702852,0.5185476538316153,-1195.0,-1195.0,Technology,155379357328.0,35.5,0.0,100.0,10.0,5.0,99.3,0.0
TSLA,"Tesla, Inc.",13.0,232.5375491480996,-57.26237147771947,0.252103515636358,8.281916210724837,0.16987867656569314,-52.9,-52.85412262156449,Consumer Cyclical,1420448259502.0,440.4,0.0,20.0,0.0,0.0,100.0,0.0
